 radius  wavelength  VZA  VAA  HDRF ARF
    100  0.6500  0.8999990E+02  0.1690000E+03  0.2851525E+00  0.2937268E+00
    100  0.6500  0.8999990E+02  0.1700000E+03  0.2849598E+00  0.2935283E+00
    100  0.6500  0.8999990E+02  0.1710000E+03  0.2847820E+00  0.2933452E+00
    100  0.6500  0.8999990E+02  0.1720000E+03  0.2846197E+00  0.2931780E+00
    100  0.6500  0.8999990E+02  0.1730000E+03  0.2844734E+00  0.2930273E+00
    100  0.6500  0.8999990E+02  0.1740000E+03  0.2843441E+00  0.2928942E+00
    100  0.6500  0.8999990E+02  0.1750000E+03  0.2842326E+00  0.2927792E+00
    100  0.6500  0.8999990E+02  0.1760000E+03  0.2841401E+00  0.2926840E+00
    100  0.6500  0.8999990E+02  0.1770000E+03  0.2840674E+00  0.2926091E+00
    100  0.6500  0.8999990E+02  0.1780000E+03  0.2840150E+00  0.2925551E+00
    100  0.6500  0.8999990E+02  0.1790000E+03  0.2839833E+00  0.2925224E+00
    100  0.6500  0.8999990E+02  0.1800000E+03  0.2839727E+00  0.2925116E+00
    100  0.6500  0.8900000E+02  0.0000000E+00  0.2049146E+01  0.2110762E+01
    100  0.6500  0.8900000E+02  0.1000000E+01  0.2047491E+01  0.2109058E+01
    100  0.6500  0.8900000E+02  0.2000000E+01  0.2042547E+01  0.2103964E+01
    100  0.6500  0.8900000E+02  0.3000000E+01  0.2034368E+01  0.2095540E+01
    100  0.6500  0.8900000E+02  0.4000000E+01  0.2023049E+01  0.2083881E+01
    100  0.6500  0.8900000E+02  0.5000000E+01  0.2008719E+01  0.2069120E+01
    100  0.6500  0.8900000E+02  0.6000000E+01  0.1991536E+01  0.2051419E+01
    100  0.6500  0.8900000E+02  0.7000000E+01  0.1971678E+01  0.2030965E+01
    100  0.6500  0.8900000E+02  0.8000000E+01  0.1949359E+01  0.2007975E+01
    100  0.6500  0.8900000E+02  0.9000000E+01  0.1924798E+01  0.1982676E+01
    100  0.6500  0.8900000E+02  0.1000000E+02  0.1898235E+01  0.1955313E+01
    100  0.6500  0.8900000E+02  0.1100000E+02  0.1869908E+01  0.1926134E+01
    100  0.6500  0.8900000E+02  0.1200000E+02  0.1840064E+01  0.1895393E+01
    100  0.6500  0.8900000E+02  0.1300000E+02  0.1808944E+01  0.1863337E+01
    100  0.6500  0.8900000E+02  0.1400000E+02  0.1776780E+01  0.1830207E+01
    100  0.6500  0.8900000E+02  0.1500000E+02  0.1743796E+01  0.1796231E+01
    100  0.6500  0.8900000E+02  0.1600000E+02  0.1710197E+01  0.1761621E+01
    100  0.6500  0.8900000E+02  0.1700000E+02  0.1676175E+01  0.1726576E+01
    100  0.6500  0.8900000E+02  0.1800000E+02  0.1641901E+01  0.1691272E+01
    100  0.6500  0.8900000E+02  0.1900000E+02  0.1607526E+01  0.1655863E+01
    100  0.6500  0.8900000E+02  0.2000000E+02  0.1573184E+01  0.1620489E+01
    100  0.6500  0.8900000E+02  0.2100000E+02  0.1538993E+01  0.1585269E+01
    100  0.6500  0.8900000E+02  0.2200000E+02  0.1505049E+01  0.1550305E+01
    100  0.6500  0.8900000E+02  0.2300000E+02  0.1471439E+01  0.1515684E+01
    100  0.6500  0.8900000E+02  0.2400000E+02  0.1438239E+01  0.1481485E+01
    100  0.6500  0.8900000E+02  0.2500000E+02  0.1405513E+01  0.1447776E+01
    100  0.6500  0.8900000E+02  0.2600000E+02  0.1373322E+01  0.1414616E+01
    100  0.6500  0.8900000E+02  0.2700000E+02  0.1341719E+01  0.1382064E+01
    100  0.6500  0.8900000E+02  0.2800000E+02  0.1310755E+01  0.1350168E+01
    100  0.6500  0.8900000E+02  0.2900000E+02  0.1280476E+01  0.1318979E+01
